Customer_ID,Age,Gender,Device,Tenure_Months,Total_Spend,App_Visits,Return_Rate,Preferred_Category
34554,39,Kadın,Mobil Uygulama,33,2200.79,16,0.091,Premium Elektronik
10428,38,Kadın,Mobil Uygulama,60,4597.44,25,0.059,Premium Elektronik
1200,35,Erkek,Masaüstü Web,51,4807,12,0.036,Premium Elektronik
13448,18,Kadın,Mobil Uygulama,7,965.65,72,0.312,Gaming Ekipmanları
40490,35,Kadın,Mobil Uygulama,47,2064.48,29,0.174,Premium Elektronik
43725,47,Kadın,Masaüstü Web,73,221.76,5,0.009,Mobil Aksesuarlar
11823,24,Erkek,Mobil Uygulama,8,867.1,23,0.265,Gaming Ekipmanları
50499,49,Kadın,Mobil Uygulama,67,99.27,0,0.035,Mobil Aksesuarlar
5145,33,Erkek,Masaüstü Web,42,3180.8,18,0.041,Premium Elektronik
37959,22,Erkek,Masaüstü Web,22,1421.97,29,0.19,Premium Elektronik
44107,65,Erkek,Masaüstü Web,52,139.97,5,0.019,Mobil Aksesuarlar
39696,30,Erkek,Masaüstü Web,23,2087.17,21,0.078,Mobil Aksesuarlar
7189,42,Kadın,Masaüstü Web,40,4493.32,13,0.043,Premium Elektronik
2415,38,Erkek,Masaüstü Web,34,4534.39,10,0.047,Akıllı Telefonlar
19472,21,Erkek,Mobil Uygulama,12,1059.8,41,0.248,Gaming Ekipmanları
30283,32,Erkek,Masaüstü Web,33,2720.74,26,0.092,Akıllı Telefonlar
16178,27,Erkek,Mobil Uygulama,11,494.91,33,0.347,Gaming Ekipmanları
35305,30,Erkek,Mobil Uygulama,41,1135.91,16,0.038,Akıllı Telefonlar
13610,21,Erkek,Mobil Uygulama,22,520.63,58,0.109,Gaming Ekipmanları
13145,25,Erkek,Mobil Uygulama,17,913.7,58,0.182,Gaming Ekipmanları
7114,37,Erkek,Mobil Uygulama,55,4390.35,19,0.02,Premium Elektronik
16909,18,Erkek,Mobil Uygulama,16,688.58,60,0.245,Gaming Ekipmanları
1822,50,Erkek,Mobil Uygulama,38,4435.8,15,0.05,Premium Elektronik
16119,24,Kadın,Mobil Uygulama,9,636.48,53,0.273,Premium Elektronik
14467,18,Kadın,Mobil Uygulama,13,502.32,74,0.333,Gaming Ekipmanları
27498,30,Kadın,Mobil Uygulama,38,2329.59,28,0.13,Akıllı Telefonlar
43112,64,Erkek,Masaüstü Web,34,172.83,2,0.017,Mobil Aksesuarlar
31189,26,Kadın,Mobil Uygulama,36,2275.51,23,0.21,Akıllı Telefonlar
38238,26,Erkek,Masaüstü Web,22,1353.29,27,0.141,Akıllı Telefonlar
34110,38,Kadın,Mobil Uygulama,1,2315.49,33,0.117,Akıllı Telefonlar
37481,29,Erkek,Mobil Uygulama,30,2052.55,18,0.159,Akıllı Telefonlar
25149,19,Erkek,Mobil Uygulama,20,780.99,43,0.268,Gaming Ekipmanları
6504,34,Erkek,Masaüstü Web,66,5801.1,20,0.047,Premium Elektronik
4919,48,Kadın,Mobil Uygulama,49,5274.94,8,0.054,Akıllı Telefonlar
39479,32,Erkek,Masaüstü Web,24,2321.3,22,0.06,Akıllı Telefonlar
22124,26,Erkek,Mobil Uygulama,1,435.45,32,0.212,Gaming Ekipmanları
50718,61,Erkek,Masaüstü Web,37,131.01,7,0.004,Mobil Aksesuarlar
43295,54,Kadın,Mobil Uygulama,70,203.15,4,0.003,Mobil Aksesuarlar
48610,59,Kadın,Masaüstü Web,26,121.92,2,0.015,Mobil Aksesuarlar
12077,25,Erkek,Mobil Uygulama,10,932.64,41,0.172,Gaming Ekipmanları
42515,42,Erkek,Masaüstü Web,58,228.18,6,0.004,Mobil Aksesuarlar
23063,20,Kadın,Mobil Uygulama,20,717.89,22,0.31,Gaming Ekipmanları
10414,40,Erkek,Mobil Uygulama,31,4794.45,22,0.001,Premium Elektronik
39341,41,Erkek,Mobil Uygulama,28,1643.51,22,0.088,Akıllı Telefonlar
31264,36,Kadın,Mobil Uygulama,41,2827.31,19,0.123,Akıllı Telefonlar
42253,62,Kadın,Masaüstü Web,50,171.67,4,0.024,Mobil Aksesuarlar
15645,25,Erkek,Mobil Uygulama,21,749.75,57,0.311,Gaming Ekipmanları
27336,24,Erkek,Mobil Uygulama,29,1411.36,18,0.116,Akıllı Telefonlar
29103,46,Kadın,Mobil Uygulama,17,1767.73,17,0.134,Mobil Aksesuarlar
18524,19,Erkek,Mobil Uygulama,12,1046.9,48,0.161,Gaming Ekipmanları
25713,23,Erkek,Masaüstü Web,7,695.65,45,0.237,Gaming Ekipmanları
41486,49,Erkek,Masaüstü Web,63,115.28,7,0.008,Mobil Aksesuarlar
4851,39,Kadın,Mobil Uygulama,36,3588.72,5,0.034,Premium Elektronik
41041,56,Kadın,Mobil Uygulama,54,116.22,4,0,Mobil Aksesuarlar
16268,26,Kadın,Mobil Uygulama,10,847.26,42,0.084,Gaming Ekipmanları
50147,62,Erkek,Masaüstü Web,54,238.18,2,0.009,Mobil Aksesuarlar
31002,18,Kadın,Mobil Uygulama,12,1932.25,29,0.087,Premium Elektronik
46927,35,Erkek,Masaüstü Web,57,96.93,8,0.012,Mobil Aksesuarlar
44825,52,Kadın,Masaüstü Web,30,122.66,3,0.017,Mobil Aksesuarlar
18241,21,Kadın,Mobil Uygulama,2,1051.34,30,0.345,Akıllı Telefonlar
5893,39,Erkek,Mobil Uygulama,57,5071.28,12,0.029,Premium Elektronik
1726,41,Erkek,Masaüstü Web,46,3791.51,20,0.011,Premium Elektronik
23950,18,Erkek,Mobil Uygulama,12,1010.3,47,0.335,Gaming Ekipmanları
35658,39,Erkek,Mobil Uygulama,32,1636.04,33,0.213,Gaming Ekipmanları
38214,28,Kadın,Mobil Uygulama,12,2000.09,31,0.127,Akıllı Telefonlar
21305,28,Erkek,Mobil Uygulama,19,1065.19,66,0.294,Gaming Ekipmanları
16270,21,Kadın,Mobil Uygulama,1,520.36,43,0.179,Gaming Ekipmanları
23368,22,Erkek,Mobil Uygulama,18,901.24,25,0.288,Gaming Ekipmanları
43685,61,Kadın,Masaüstü Web,60,176.88,3,0.015,Gaming Ekipmanları
47735,54,Kadın,Masaüstü Web,51,79.09,6,0.003,Mobil Aksesuarlar
12733,22,Kadın,Masaüstü Web,25,588.96,61,0.271,Gaming Ekipmanları
19620,20,Kadın,Mobil Uygulama,11,856.81,42,0.248,Gaming Ekipmanları
49493,59,Kadın,Masaüstü Web,56,251.62,7,0,Mobil Aksesuarlar
27804,22,Erkek,Mobil Uygulama,35,2331.85,35,0.13,Mobil Aksesuarlar
45306,62,Kadın,Masaüstü Web,64,199.31,1,0.013,Mobil Aksesuarlar
48523,70,Kadın,Masaüstü Web,42,104.62,4,0.024,Gaming Ekipmanları
33208,19,Kadın,Mobil Uygulama,9,1678.27,17,0.212,Akıllı Telefonlar
3531,45,Kadın,Masaüstü Web,38,4500.32,7,0.043,Akıllı Telefonlar
18747,21,Erkek,Mobil Uygulama,13,728.59,61,0.294,Gaming Ekipmanları
9271,33,Kadın,Mobil Uygulama,50,4295.14,14,0.027,Mobil Aksesuarlar
16080,23,Erkek,Mobil Uygulama,1,845.07,55,0.299,Gaming Ekipmanları
14625,21,Kadın,Mobil Uygulama,5,816.74,48,0.313,Gaming Ekipmanları
31639,31,Erkek,Masaüstü Web,11,1527.45,25,0.127,Akıllı Telefonlar
31441,30,Kadın,Mobil Uygulama,35,1703.96,21,0.191,Akıllı Telefonlar
37057,20,Erkek,Masaüstü Web,15,1783.25,26,0.208,Mobil Aksesuarlar
43652,19,Erkek,Masaüstü Web,54,116.99,4,0,Mobil Aksesuarlar
37804,24,Erkek,Masaüstü Web,15,2613.08,44,0.107,Akıllı Telefonlar
49225,50,Erkek,Masaüstü Web,70,75.37,6,0.022,Mobil Aksesuarlar
30227,27,Erkek,Mobil Uygulama,13,1610.7,26,0.163,Akıllı Telefonlar
6634,44,Kadın,Mobil Uygulama,72,4461.35,17,0,Premium Elektronik
6988,42,Erkek,Mobil Uygulama,51,3277.77,15,0.032,Mobil Aksesuarlar
49064,28,Erkek,Masaüstü Web,74,268.26,1,0,Mobil Aksesuarlar
2813,52,Kadın,Mobil Uygulama,48,4215.81,16,0.037,Premium Elektronik
28579,43,Kadın,Mobil Uygulama,7,2291.55,32,0.101,Akıllı Telefonlar
17824,21,Erkek,Mobil Uygulama,11,1126.18,68,0.171,Gaming Ekipmanları
4929,35,Erkek,Masaüstü Web,47,5821.88,19,0.015,Premium Elektronik
38287,39,Kadın,Mobil Uygulama,38,2736.19,31,0.093,Akıllı Telefonlar
26046,25,Kadın,Mobil Uygulama,15,2926.77,26,0.055,Akıllı Telefonlar
16728,23,Erkek,Masaüstü Web,6,920.36,29,0.273,Gaming Ekipmanları
30601,28,Erkek,Masaüstü Web,27,2230.07,26,0.134,Akıllı Telefonlar
11431,18,Kadın,Mobil Uygulama,8,833.38,36,0.267,Gaming Ekipmanları
26769,26,Kadın,Mobil Uygulama,28,2038.93,35,0.075,Akıllı Telefonlar
30104,26,Kadın,Masaüstü Web,5,2084.68,8,0.13,Akıllı Telefonlar
37538,43,Erkek,Mobil Uygulama,34,2290.18,40,0.089,Premium Elektronik
40329,31,Erkek,Mobil Uygulama,26,1655.03,29,0.063,Gaming Ekipmanları
36540,40,Kadın,Mobil Uygulama,33,3068.54,31,0.08,Mobil Aksesuarlar
29076,36,Erkek,Masaüstü Web,33,3190.03,24,0.12,Akıllı Telefonlar
