Year	Aruba	Africa Eastern and Southern	Afghanistan	Africa Western and Central	Angola	Albania	Andorra	Arab World	United Arab Emirates	Argentina	Armenia	American Samoa	Antigua and Barbuda	Australia	Austria	Azerbaijan	Burundi	Belgium	Benin	Burkina Faso	Bangladesh	Bulgaria	Bahrain	"Bahamas, The"	Bosnia and Herzegovina	Belarus	Belize	Bermuda	Bolivia	Brazil	Barbados	Brunei Darussalam	Bhutan	Botswana	Central African Republic	Canada	Central Europe and the Baltics	Switzerland	Channel Islands	Chile	China	Cote d'Ivoire	Cameroon	"Congo, Dem. Rep."	"Congo, Rep."	Colombia	Comoros	Cabo Verde	Costa Rica	Caribbean small states	Cuba	Curacao	Cayman Islands	Cyprus	Czechia	Germany	Djibouti	Dominica	Denmark	Dominican Republic	Algeria	East Asia & Pacific (excluding high income)	Early-demographic dividend	East Asia & Pacific	Europe & Central Asia (excluding high income)	Europe & Central Asia	Ecuador	"Egypt, Arab Rep."	Euro area	Eritrea	Spain	Estonia	Ethiopia	European Union	Fragile and conflict affected situations	Finland	Fiji	France	Faroe Islands	"Micronesia, Fed. Sts."	Gabon	United Kingdom	Georgia	Ghana	Gibraltar	Guinea	"Gambia, The"	Guinea-Bissau	Equatorial Guinea	Greece	Grenada	Greenland	Guatemala	Guam	Guyana	High income	"Hong Kong SAR, China"	Honduras	Heavily indebted poor countries (HIPC)	Croatia	Haiti	Hungary	IBRD only	IDA & IBRD total	IDA total	IDA blend	Indonesia	IDA only	Isle of Man	India	Not classified	Ireland	"Iran, Islamic Rep."	Iraq	Iceland	Israel	Italy	Jamaica	Jordan	Japan	Kazakhstan	Kenya	Kyrgyz Republic	Cambodia	Kiribati	St. Kitts and Nevis	Korea	Kuwait	Latin America & Caribbean (excluding high income)	Lao PDR	Lebanon	Liberia	Libya	St. Lucia	Latin America & Caribbean	Least developed countries: UN classification	Low income	Liechtenstein	Sri Lanka	Lower middle income	Low & middle income	Lesotho	Late-demographic dividend	Lithuania	Luxembourg	Latvia	"Macao SAR, China"	St. Martin (French part)	Morocco	Monaco	Moldova	Madagascar	Maldives	"Middle East, North Africa, Afghanistan & Pakistan"	Mexico	Marshall Islands	Middle income	North Macedonia	Mali	Malta	Myanmar	"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)"	Montenegro	Mongolia	Northern Mariana Islands	Mozambique	Mauritania	Mauritius	Malawi	Malaysia	North America	Namibia	New Caledonia	Niger	Nigeria	Nicaragua	Netherlands	Norway	Nepal	Nauru	New Zealand	OECD members	Oman	Other small states	Pakistan	Panama	Peru	Philippines	Palau	Papua New Guinea	Poland	Pre-demographic dividend	Puerto Rico (US)	"Korea, Dem. People's Rep."	Portugal	Paraguay	West Bank and Gaza	Pacific island small states	Post-demographic dividend	French Polynesia	Qatar	Romania	Russian Federation	Rwanda	South Asia	Saudi Arabia	Sudan	Senegal	Singapore	Solomon Islands	Sierra Leone	El Salvador	San Marino	"Somalia, Fed. Rep."	Serbia	Sub-Saharan Africa (excluding high income)	South Sudan	Sub-Saharan Africa	Small states	Sao Tome and Principe	Suriname	Slovak Republic	Slovenia	Sweden	Eswatini	Sint Maarten (Dutch part)	Seychelles	Syrian Arab Republic	Turks and Caicos Islands	Chad	East Asia & Pacific (IDA & IBRD countries)	Europe & Central Asia (IDA & IBRD countries)	Togo	Thailand	Tajikistan	Turkmenistan	Latin America & the Caribbean (IDA & IBRD countries)	Timor-Leste	"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)"	Tonga	South Asia (IDA & IBRD)	Sub-Saharan Africa (IDA & IBRD countries)	Trinidad and Tobago	Tunisia	Turkiye	Tuvalu	Tanzania	Uganda	Ukraine	Upper middle income	Uruguay	United States	Uzbekistan	St. Vincent and the Grenadines	"Venezuela, RB"	British Virgin Islands	Virgin Islands (U.S.)	Viet Nam	Vanuatu	World	Samoa	Kosovo	"Yemen, Rep."	South Africa	Zambia	Zimbabwe
1960		24205688712		11904805742						15865474315				18635682982	6624086313		195999990	11810619368	226195578.4	330442815.8	4274894083			169736027.2			28072478.07	72400000	377020202	17030465539	80021846.95			30411413.66	112155598.5	40563768947		10412232621		4211103677	59846235025	546203559.3	614206068.5	3359404118	131731862.8	4031152977			507513830	1165303060						84619845881			6361166545	672399700	2723615451	80886065110	1.45E+11	1.57E+11		4.27E+11	2069464937	4206270352	2.52E+11		12424514014		1610511694	2.85E+11	34029503593	5279481824	112328422.1	61959085885			141468977.8	73233967692		1217230095						4274890307			1043599900		170216241.1	1.09E+12	1320796652	475650000	21923722128		273187200		3.06E+11	3.52E+11	43419063136	12401501562		32210089126		37029883876		1998550222	4199134390	1537252193	260984498.8	3070585807	42012422612	699064380.4		47419238274		791265459.5				12366635.75	3973069307		61872048054			190495600	401644248.9		79218932628	28083812111			1409873950	85718645235	2.66E+11	34579986.17	1.84E+11		709941874				2037154742			673081724.8		29024394855	13040000000		2.54E+11				545098447.6	21951472906						162089563.8		1916229477	5.83E+11			449526873.3	4196174502	227223322.1	13282979015	5197398721	508334414		5536098360	1.06E+12	44234656.45		3749265015	537147100	2571986572	7515894111		230496036.9		24364156194	1691900000		3339150158	288884368			1.04E+12					119000024	43270012739	1748124064	1126364162	1003692370	704751700.3		322009961.5			180459936.8		34318581555		35992821735			99650000			15930075467	35076845.97		12012024.62	857704413.4		313582728.1	80803222393		171057069.1	2760750861			74399051116		21778972839		43270012739	35992821735	535673252.5		7566666667		2651729807	423145605		1.68E+11	1242289239	5.42E+11		13066634	7663938303					1.37E+12				8748596501	698739720.8	1053528036
1961		24958886027		12707719291				19998438485		20132220375				19713123154	7346566038		202999992	12561701694	235668220.5	350247234.3	4817580375			190022030.4			29964999.97	76500000	410101010.1	17275940449	85363759.34			32902612.87	123134583.5	41038192838		11713348834		4948564551	50162299350	618245634.2	652777608.3	3086746857	151675738.9	4540447761			490325181.6	1272022469						96558204043			7058361229	654100200	2434747056	71247395333	1.58E+11	1.59E+11		4.70E+11	1753850955	4494575611	2.80E+11		14238126760		1680859514	3.17E+11	35534363197	5984433774	116987784.9	67158050215			167637907.1	77741965703		1302674325						4892397431			1076699900		185849535.4	1.17E+12	1383681651	503300000	22627709232		271066000		3.10E+11	3.58E+11	45877820664	13314688265		33770973574		39232435784		2151772980	4426949095	1671960965	266711460.2	3708586471	46649487320	748043500.8		57266758180		792959472.8				12483302.13	2427244761		68537433096			183920900	443905612		87692579907	29364630537			1444327731	91375597712	2.69E+11	35699985.72	1.71E+11		710163719.4				2025693540			699161944.6		30987037285	14160000000		2.58E+11				605581577.3	22897686862					159213430.2	191757729.5		1901856123	6.03E+11			485785231	4467287893	244144236.7	14599836396	5669689210	531959561.6		5721994864	1.13E+12	45634487.35		4118647627	599026300	2897852693	8171194425		244832039.2		25256725916	1865100000		3573719085	322053713.2			1.10E+12					122000016	46076379864	1920811284	1222860429	1058975257	764629788.1		327834190.6			191659914.4		35775152382		37521652880			107700000			17329620585	43026042.79		11592023.76	945244972.1		333975336.1	71174424447		178497098.3	3034037811			82362832266		22717751213		46076379864	37521652880	584964620.9	866155428.6	7988888889		2826179031	441667334.6		1.66E+11	1547388781	5.62E+11		13999965	8067267031					1.44E+12				9225996310	682359727.3	1097206526
1962		27073233857		13630588814				20329047307		18337691145				19953923193	7793042529		213500006	13436827167	236434954	379567099.2	5081413542			212170033.9			31857591.86	80700000	448400673.4	19231747852	88782583.46			35644956.64	124482773.8	42336211556		12989649694		5765971144	47310737754	645284473.7	694247864.4	3779841429	166521239.7	4955543963			479180824.3	1356047350						1.06E+11			7953274741	824100000	2001444544	64989160573	1.59E+11	1.62E+11		5.13E+11	1518207703	4035462027	3.10E+11		16609632791		1747566307	3.50E+11	39268957405	6407796043	122906435	75196980365			182796536.3	81247564157		1382515654					37253333.33	5140542929			1143600000		194949512.6	1.26E+12	1612346412	532450000	24599541749		281896800		3.14E+11	3.66E+11	49352987755	14222416056		36454084444		42161481858		2329372972	4693566416	1784174541	299309938.1	2966154031	52413872628	777727688.9		64987857542		868111400.8				12541635.31	2826923077	1828107503	70838147780			191861800	619725784.9		92148671651	31794976805			1434156379	92791537815	2.74E+11	41859983.26	1.74E+11		747846862.2				2379611125			739286907.6		30832534298	15200000000		2.61E+11				634528872	23311084905					164271557.5	197738207.9		2001489602	6.46E+11			531736599.3	4909399176	269283803.7	15847582341	6107076929	574091101.2		6133158532	1.22E+12	56273202.2		4310163797	652120900	3284322201	4954593072		261184041.8		27666238152	2094400000		3835883663	360698412.7			1.19E+12					125000008	49304727903	2130606532	1328259625	1085475791	826239211.8		342721416.5			203531927.5		38743773907		40553510690			116150000			18794066990	45927961.63		12642025.92	1110565881		357635713.4	64922599309		186745757.9	3308912797			86399815745		23127900672		49304727903	40553510690	619322810	880027733.3	8922222222		3101589993	449158233.4		1.67E+11	1710004407	6.04E+11		14524963.69	8814309884					1.54E+12				9813996074	679279728.6	1118172226
1963		31769135009		14468913698				22364472061		18272123664				21573443452	8414050621		232749998	14445805381	253927697.3	394040667.1	5319458563			237650038			33750113.75	82600000	482828282.8	23287712878	99893761.27			38091842.85	129379123.8	45140337827		14283872299		5702520146	50812227919	761047198	718320845	6213185743	172233430.7	4836166667			511902136.8	1447988752						1.12E+11			8466044980	940799900	2702982018	70288432261	1.76E+11	1.81E+11		5.61E+11	1824343871	4187146232	3.41E+11		19631714760		1825058828	3.85E+11	44880094682	6958916548	129454728.6	84227606650			154480244.1	86561961812		1540797589					44266666.67	5813285627			1262800000		175757893.9	1.36E+12	1935298266	553500000	28893534516		294883400		3.46E+11	4.04E+11	54556943165	15145197245		41013144249		48421923459		2505073358	4928628018	1805901510	357240895.7	3535949089	60035924618	826706669.3		74379284603		926589349.4				12833301.25	4007692308	1900895857	77852261014			200229600	892327910.7		1.00E+11	36519313158			1240672269	1.03E+11	3.04E+11	47039981.18	1.90E+11		797902154.2				2657252578			759345863.7		33981027252	16960000000		2.87E+11				598998418.7	25680699750					168186297.3	253839557.9		2510110348	6.82E+11			586294878.7	5165590254	297324163.1	17193744109	6553269536	496947904.4		6699741645	1.32E+12	59912762.54		4630827383	722784500	3598272493	5505023238		275968044.2		31983402735	2333600000		4084251593	383904761.9			1.29E+12					128000000	55539363102	2207393172	1351234926	1122139862	917608012.5		348547278.8			216145935.9		44252709651		46127211026			125950000			20342131882	54129438.35		13923028.54	1200447408		371767002.2	70216443535		202305865.2	3540403457			93844819441		25478894502		55539363102	46127211026	678239329.4	1026737600	10355555556		3456579293	516315231.4		1.84E+11	1539681491	6.37E+11		13708299.06	9608717288					1.67E+12				10854195658	704339718.5	1160103724
1964		30279553207		15803564796				24813307354		25605249382				23835843814	9213648656		260750008	16168044450	269819005.9	410321645	5386054833			266560042.6			36194586.19	92200000	544023569	20963733695	99252731.45			41616347.79	142025078.7	49503663836		15833133858		6065708668	59821862703	921063326.6	776650176.9	2881545273	185693724.9	5973366667			542578367.2	1546223258						1.23E+11			9677401337	1025599900	2909316435	81184317666	2.02E+11	2.08E+11		6.20E+11	2244146103	4709245762	3.78E+11		21966876027		1984129186	4.27E+11	40614223625	7848987793	140032741.5	93424179943			215679855.3	94407558351		1731296200					51915000	6576906345			1299099900		194774513.1	1.48E+12	2206466461	591100000	26878565172		325281200		3.93E+11	4.49E+11	53949854635	16626632979		38511156901		56480289941		2851091646	5379845648	2136408198	456206298.8	4024344853	65720771779	897949000.8		87490590818		998759334.5				13416633.13	3476789682	2071668533	89267114390			218929100	1341395421		1.11E+11	33150184767			1309747899	1.15E+11	3.40E+11	51939979.22	2.08E+11		910877686.3				2798345299			802482183.7		37876511285	20080000000		3.27E+11				411419905.8	28686249644					224495743.9	218914569.2		2674423922	7.34E+11			582816396.4	5552931319	347119918.2	20232048553	7206522122	496098775.3		7340766415	1.44E+12	61872525.8		5204955901	776137500	4353664867	5953756195		305312048.8		30268695832	2570500000		4429202657	408349206.3			1.40E+12					129999994	63741466509	2371808713	1388282600	1188930645	894153311.4		371847461.4			229529912.7		43834461491		45891005946			134400000			22685490195	64980554.01		15393031.56	1339494267		392247517.7	81101169481		234572186.5	3889129942			1.04E+11		28460826047		63741466509	45891005946	711897520.3	1025866792	11177777778		3748840925	589247687.3		2.11E+11	1975701816	6.84E+11		14758296.44	8192413793					1.83E+12				11955995218	822639671.3	1217759447
1965		33806176717		16920876930				26771102387		28344705967				26014244162	10041659445		158994963	17597783297	289908680.4	422916789.7	5906636792			300272048			40110040.11	98000000	604377104.4	22465522884	105021996.9	114039500.6		45788696.33	150574795.4	54649410479		16780226225		6183988944	70565994356	919771228.8	814083265.5	4043901818	198318064	5760761905			592981162.3	1658476311						1.35E+11			10870670865	888100000	3136284307	94594887800	2.19E+11	2.31E+11		6.77E+11	2387047396	4948667540	4.13E+11		25479619607		2159998591	4.67E+11	44620716060	8680393839	147084750	1.01E+11	57954522.42		226474285.8	1.02E+11		2053462968					64748333.33	7582209670			1331399900		213235294.1	1.61E+12	2435078534	651050000	30407034660		353251800		4.30E+11	4.93E+11	60415096599	17977186458		43922137299		59556105229		3035655794	6197319929	2335785506	550150988	4329084429	70717012186	972159611.1	599759760.1	97338107606		997919320.8				13593932.32	3141131708	2097199161	96773648115			229260800	1804979680		1.20E+11	37295152842			1698319328	1.24E+11	3.76E+11	54879978.05	2.33E+11		929477284.8				2948331090			833563473		41652574542	21840000000		3.60E+11				367053117.2	31805270075					255340475	230024160.5		2956337669	7.97E+11		159594492.5	673383510.8	5874537650	564290020.4	22721869808	8111945661	735267082.3		5706251400	1.57E+12	63279974.69		5929231415	852485300	5163008077	6517349772		344176055.1		33350877902	2881500000		4901711248	443587301.6			1.53E+12	176534588.4				148799980	67970199333	2647955558	1446869619	1210058228	974644096.1		359379856.2	877720000		243725898		48308630395		50543636348			154150000			24963947415	70279971.89		15603031.99	1472036540		416926303.3	94498004640		264505506	4388937649			1.12E+11		31555336449		67970199333	50543636348	736573158.6	991047619	11966666667		3817226546	884502310		2.36E+11	1890767156	7.42E+11		15108295.56	8427777778					2.00E+12				13068994772	1061199576	1312105394
1966		36927249593		18033947667				28351046183		28630474728				27349284376	10939526219		165444571.4	18894891312	302925235.2	433889766.2	6439687854			346800000			44450044.45	115000000	669191919.2	28283323733	113195122.8	132757528		51465655.39	157930018.1	61252415405		18019402374		7256882086	76854053259	1024102880	851112534.6	4532660182	220613582	5428518519			647305630.2	1763304085						1.43E+11			11931740293	983900000	3039859187	1.03E+11	2.17E+11	2.59E+11		7.32E+11	2429308639	5278005612	4.47E+11		29559436183		2324466416	5.06E+11	47607568997	9306142172	150603925.5	1.09E+11	64397131.08		245849781.3	1.09E+11		2126300672			44212081.35		69110000	8472021467			1390700000		228705882.4	1.76E+12	2489845017	692150000	32971073893		368948600		4.45E+11	5.13E+11	65247708355	19605545864		47199466538		45581230504		3198820904	6789938672	2530306096	660663763.3	4703300098	76622444787	1096759561	657999736.8	1.13E+11		1164519674				14469078.18	3957064541	2391199044	1.07E+11			244459500	2312438536		1.32E+11	40642209234			1751470588	1.13E+11	3.90E+11	56699977.32	2.60E+11		976717015.5				2876401297			900264584.6		44827741482	24320000000		3.73E+11				293103478.5	33969222899					266533605.2	227534083.5		3143517944	8.74E+11		164206536.4	702296078.6	6366917453	607140010.5	24741480717	8753940267	906811943.8		5917437693	1.71E+12	67759972.9		6561108778	928833000	6109048737	7189017888		390992062.6		36463686476	3170500000		5370108031	465888888.9			1.67E+12	215659453.6				124525702.9	54738691617	2920555557	1484491676	1246908186	1096425608		375479849.8	929520000		257375897		52377020048		54780137859			190350000			27154716721	76859969.26		16443033.71	1342287553		432794921.7	1.03E+11		305227594.8	5279230817			1.23E+11		33702284400		54738691617	54780137859	723739857.3	1040952381	14100000000		4377998825	925381492.4		2.60E+11	1809185094	8.13E+11		16099959.75	8781333333					2.16E+12				14211394315	1238999505	1282403936
1967		38444163574		16493541544				30600869635		24256667553				30487524878	11634569522		178297142.9	20252508995	306221953.1	450753923.5	7253575688			398000000			47431255.75	134800000	755808080.8	31086389195	125554008.7	139029537.2		58642354.09	163820513.6	65856924424		19397044714		7145068068	73011350596	1082922725	936175260	3384063372	237397428.1	5825170438			699456618.9	1929997389						1.45E+11			13059064806	1034800000	3370870376	1.00E+11	2.29E+11	2.81E+11		7.77E+11	2553595172	5605484299	4.74E+11		32570905397		2461762003	5.38E+11	46953517459	9468272357	162625885.9	1.18E+11	66225403.56		271543680	1.13E+11		1747187645			46695006.96		72317446.93	9146592856			1453500000		250176470.6	1.88E+12	2692474989	750950000	32488675064		369124200		4.57E+11	5.27E+11	66154805083	19795254778	5667756628	47958244720		50134942204		3445739915	7555383690	2551522656	652609075.7	4762386783	84401995573	1148014311	631679747.3	1.32E+11		1232559507				16742338.25	4895076718	2441599023	1.09E+11			261024300	2726986913		1.34E+11	41311581928	17168631141		1859465021	1.20E+11	4.00E+11	59261976.3	2.61E+11		983052314.9				3046345314			956436932.1		48702681114	26560000000		3.84E+11		275494477.6		420359035.9	37310104874					282615310.2	238439290.9		3188924677	9.26E+11		180036767.6	665586872.3	5203237919	657140010.7	27143828099	9577383653	841974025.5		6016017227	1.83E+12	107151832.5		7464510710	1034376400	6194340080	7724873935		441728182.7		34694458408	3532700000		6002607030	492674603.2			1.79E+12	220984367.6				159560018	60155334542	3257022223	1607409539	1246480766	1238035816	25203524.03	348795303	976200000		271781886.8		52285172403		54842900794			220700000			29474881506	74759970.1		16632032.13	1580229799		449826322.6	1.00E+11		327215843.6	5638461442			1.25E+11		37016912903		60155334542	54842900794	761981912.4	1085714286	15644444444		4565132048	967240655.2		2.64E+11	1597713469	8.60E+11		15835106.03	9250000000					2.29E+12				15821393671	1340639464	1397715282
1968		41742001495		17022596884				34973045351		26436857247				32763365242	12499863917		183200000	21654856965	326323105.3	460442689.4	7483685771			453800000			44999910	150000000	857912457.9	33930457425	125733668.5	160818235.9		66248441.42	191767441.6	72048833006		20712102794		7286820526	70980323819	1281281277	1046191218	3909780539	251247457.8	5960212869			773841494.3	1980508886						1.57E+11			13505574133	1079100000	3852147027	1.02E+11	2.50E+11	3.11E+11		8.19E+11	2582179864	5932242991	5.10E+11		32394326464		2619948865	5.78E+11	51877513130	8916565041	166952937.1	1.29E+11	65186666.67		294468564.2	1.08E+11		1666909518			41160065.86		67514285.71	9950331206			1610500000		229750000	2.04E+12	2716964388	815450000	34994461970		367968800	4886222555	4.84E+11	5.58E+11	70107106201	21047483665	7076465300	50737955948		53085455871		3378701147	8623172960	2896598841	498365199.7	5458427928	91485448148	1083839133	561119775.6	1.57E+11		1353295459				14600000	6167109472	2662798935	1.17E+11			276820700	3850623095		1.44E+11	44098255412	18643486433		1801344538	1.28E+11	4.24E+11	61445975.42	2.66E+11		1075561623				3271422333			1031669637		55355053153	29360000000		4.07E+11		343771973		559956130.3	41897056401					311395937.3	206576630.6		3330371551	1.01E+12		215507162.6	641214226.2	5200997920	692859984.6	30097635751	10227087165	772231386.9		5228045415	1.99E+12	188879848.9		8041999160	1112791100	5736083835	8632749269		485184189.6		37417938618	3941700000		6644693214	517650793.7			1.94E+12	259590074.5				172200018	63211416561	4187777711	1677771401	1309384862	1425706091	28084252.76	329859731.9	1009760100		286719885.3		55967306234		58686298468			241350000			31277871669	79799968.08		16074027.65	1753746430		453980096.2	1.01E+11		341691567.5	6081009428			1.34E+11		41567819038		63211416561	58686298468	758899950	1214666667	17500000000		4895251824	1037379252		2.79E+11	1593674185	9.40E+11		15350000	10034444444					2.48E+12				17124793150	1573739371	1480355355
1969		47048523179		19301191937				38563619624		31256284544				36738245878	13647475854		190205714.3	24019653475	330748244.5	478298645.4	8471006438			538700000			47399905.2	164900000	929629629.6	37171640819	141393142	161210236.4		77361546.51	188039210.1	79405011125		22442043274		8456519044	79847786729	1361360293	1100551489	5032434970	265040036.4	6450175214			853630203.8	2152507805						1.78E+11			15414902667	1230500000	4257253264	1.14E+11	2.79E+11	3.59E+11		9.08E+11	3112165727	6524455206	5.70E+11		37090689288		2768987372	6.44E+11	58222824529	10177524839	182182067.7	1.41E+11	70106666.67		318124701.5	1.16E+11		1962050556			45168072.27		67225714.29	11454106327			1715399900		249300000	2.25E+12	3189740055	844400000	38503260469		391820400	5429812387	5.41E+11	6.23E+11	78701759386	23960732154	8337423313	56549175848		58447995017		3902721632	9743089607	3007758797	435659609.9	6297852761	1.01E+11	1191239047	698879720.4	1.84E+11		1458379417				15850000	7743940189	2769198892	1.31E+11			306961800	4380987481		1.61E+11	48788461658	21687971434		1965546218	1.41E+11	4.75E+11	65967973.61	2.96E+11		1245432991				3651622669			1056391056		61449134769	32480000000		4.55E+11		339913867.1		571854214.6	46594338114					295062308.5	221553612.9		3664552041	1.10E+12		263108841.3	625867985.3	6634317346	750000002.9	34086038090	11136187440	788641965.4		5814357709	2.19E+12	239999808		8683116338	1221305700	6420909790	9571800653		551263864.2		42086630831	4460700000		7287555035	556293650.8			2.13E+12	242943783.1				188700037	69748993758	4485777644	1847501441	1245234931	1659893768	28606411.4	408690163.5	1049400000		306357284.6		63402019319		66258274672			259650000			33967301561	105419957.8		16452028.3	2245011515		471635621.6	1.14E+11		378091809.6	6695336567			1.50E+11		46228188358		69748993758	66258274672	779200000	1289904762	19466666667		5142066811	1168556629		3.13E+11	2004435484	1.02E+12		16650000	10285111111					2.74E+12				19256992297	1926399230	1748891294
