	Aruba	Africa Eastern and Southern	Afghanistan	Africa Western and Central	Angola	Albania	Andorra	Arab World	United Arab Emirates	Argentina	Armenia	American Samoa	Antigua and Barbuda	Australia	Austria	Azerbaijan	Burundi	Belgium	Benin	Burkina Faso	Bangladesh	Bulgaria	Bahrain	"Bahamas, The"	Bosnia and Herzegovina	Belarus	Belize	Bermuda	Bolivia	Brazil	Barbados	Brunei Darussalam	Bhutan	Botswana	Central African Republic	Canada	Central Europe and the Baltics	Switzerland	Channel Islands	Chile	China	Cote d'Ivoire	Cameroon	"Congo, Dem. Rep."	"Congo, Rep."	Colombia	Comoros	Cabo Verde	Costa Rica	Caribbean small states	Cuba	Curacao	Cayman Islands	Cyprus	Czechia	Germany	Djibouti	Dominica	Denmark	Dominican Republic	Algeria	East Asia & Pacific (excluding high income)	Early-demographic dividend	East Asia & Pacific	Europe & Central Asia (excluding high income)	Europe & Central Asia	Ecuador	"Egypt, Arab Rep."	Euro area	Eritrea	Spain	Estonia	Ethiopia	European Union	Fragile and conflict affected situations	Finland	Fiji	France	Faroe Islands	"Micronesia, Fed. Sts."	Gabon	United Kingdom	Georgia	Ghana	Gibraltar	Guinea	"Gambia, The"	Guinea-Bissau	Equatorial Guinea	Greece	Grenada	Greenland	Guatemala	Guam	Guyana	High income	"Hong Kong SAR, China"	Honduras	Heavily indebted poor countries (HIPC)	Croatia	Haiti	Hungary	IBRD only	IDA & IBRD total	IDA total	IDA blend	Indonesia	IDA only	Isle of Man	India	Not classified	Ireland	"Iran, Islamic Rep."	Iraq	Iceland	Israel	Italy	Jamaica	Jordan	Japan	Kazakhstan	Kenya	Kyrgyz Republic	Cambodia	Kiribati	St. Kitts and Nevis	"Korea, Rep."	Kuwait	Latin America & Caribbean (excluding high income)	Lao PDR	Lebanon	Liberia	Libya	St. Lucia	Latin America & Caribbean	Least developed countries: UN classification	Low income	Liechtenstein	Sri Lanka	Lower middle income	Low & middle income	Lesotho	Late-demographic dividend	Lithuania	Luxembourg	Latvia	"Macao SAR, China"	St. Martin (French part)	Morocco	Monaco	Moldova	Madagascar	Maldives	"Middle East, North Africa, Afghanistan & Pakistan"	Mexico	Marshall Islands	Middle income	North Macedonia	Mali	Malta	Myanmar	"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)"	Montenegro	Mongolia	Northern Mariana Islands	Mozambique	Mauritania	Mauritius	Malawi	Malaysia	North America	Namibia	New Caledonia	Niger	Nigeria	Nicaragua	Netherlands	Norway	Nepal	Nauru	New Zealand	OECD members	Oman	Other small states	Pakistan	Panama	Peru	Philippines	Palau	Papua New Guinea	Poland	Pre-demographic dividend	Puerto Rico (US)	"Korea, Dem. People's Rep."	Portugal	Paraguay	West Bank and Gaza	Pacific island small states	Post-demographic dividend	French Polynesia	Qatar	Romania	Russian Federation	Rwanda	South Asia	Saudi Arabia	Sudan	Senegal	Singapore	Solomon Islands	Sierra Leone	El Salvador	San Marino	"Somalia, Fed. Rep."	Serbia	Sub-Saharan Africa (excluding high income)	South Sudan	Sub-Saharan Africa	Small states	Sao Tome and Principe	Suriname	Slovak Republic	Slovenia	Sweden	Eswatini	Sint Maarten (Dutch part)	Seychelles	Syrian Arab Republic	Turks and Caicos Islands	Chad	East Asia & Pacific (IDA & IBRD countries)	Europe & Central Asia (IDA & IBRD countries)	Togo	Thailand	Tajikistan	Turkmenistan	Latin America & the Caribbean (IDA & IBRD countries)	Timor-Leste	"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)"	Tonga	South Asia (IDA & IBRD)	Sub-Saharan Africa (IDA & IBRD countries)	Trinidad and Tobago	Tunisia	Turkiye	Tuvalu	Tanzania	Uganda	Ukraine	Upper middle income	Uruguay	United States	Uzbekistan	St. Vincent and the Grenadines	"Venezuela, RB"	British Virgin Islands	Virgin Islands (U.S.)	Viet Nam	Vanuatu	World	Samoa	Kosovo	"Yemen, Rep."	South Africa	Zambia	Zimbabwe
1960																																																																																																																																																																																																																																																																										
1961	180	11094611	652230	9046580	1246700	27400	470	11235451	71020	2736690		200	440	7682300	82520		25680		112760	273600	130170	110630	690	10010			22810	54	1083300	8358140	430	5270	46723	566730	622980	8965590	737300	39528	198	743532	9388250	318000	472710	2267050	341500	1109500	1861	4030	51060	398477.61	107400		240	9240		349130	23180	750	40000	48310	2381740	15922288.74	31114350.61	24396148.74	797030	5483173.727	276840	995450	2410306		499780			3594945.7	16129541	304590	18270	538950	1396		257670	241930		227540	10	245720	10120	28120	28050	128900	340	341700	107160	540	196710	35135119.73	1020	111890	16276851		27560	90040	49974220.74	70751672.35	20777451.61	4462487.61	1811570	16314964	570	2973190		68890	1628760	437370	100250	21640	294110	10830	88240	366700		569140		176520	810	350	96460	17820	17925467.61	230800	10230	96320	1759540	610	20075279.61	16609841	10995740	160	62710	17945694	68208700.35	30360	24766870.74				20		446340	2.027		581540	300	12649380	1943950		57212960.35		1220190	320	653540	10067090		1547438.742		786380	1030700	2030	94280	328550	18124604	823290	18280	1266700	910770	120340	33760	365244	143000	20	263310	35163999.7	309500	226754	770880	74340	1280000	298260		452860	306290	17690781	8870	120410	91500	397300	6020	62860	30270187.7	3660	11610	230340		24670	3356093	2149690		192530	670	27990	72180	20850	60	627340		20140731		20141191	688091.61	960	160507.61			407339.7	17200		460	183780	950	1260000	15801898.74	1444290	54390	510890			19947129.61	14870	10061070	720	3356093	20141191	5130	155360	769630	30	885800	199810		39267266.35	175020	9158960		390	882050	150	350	325490	12190	104225870.1	2830		527970	1213090	743390	386850
1962	180	11094611	652230	9046580	1246700	27400	470	11235451	71020	2736690		200	440	7682300	82520		25680		112760	273600	130170	110630	690	10010			22810	54	1083300	8358140	430	5270	46723	566730	622980	8965590	737280	39528	198	743532	9388250	318000	472710	2267050	341500	1109500	1861	4030	51060	398477.61	107400		240	9240		349130	23180	750	40000	48310	2381740	15922288.74	31114350.61	24396148.74	797030	5483153.727	276840	995450	2410306		499780			3594925.7	16129541	304590	18270	538950	1396		257670	241930		227540	10	245720	10120	28120	28050	128900	340	341700	107160	540	196710	35135099.73	1020	111890	16276851		27560	90020	49974220.74	70751672.35	20777451.61	4462487.61	1811570	16314964	570	2973190		68890	1628760	437370	100250	21640	294110	10830	88240	366700		569140		176520	810	350	96460	17820	17925467.61	230800	10230	96320	1759540	610	20075279.61	16609841	10995740	160	62710	17945694	68208700.35	30360	24766870.74				20		446340	2.027		581540	300	12649380	1943950		57212960.35		1220190	320	653540	10067090		1547438.742		786380	1030700	2030	94280	328550	18124604	823290	18280	1266700	910770	120340	33760	365244	143000	20	263310	35163979.7	309500	226754	770880	74340	1280000	298260		452860	306290	17690781	8870	120410	91500	397300	6020	62860	30270167.7	3660	11610	230340		24670	3356093	2149690		192530	670	27990	72180	20850	60	627340		20140731		20141191	688091.61	960	160507.61			407339.7	17200		460	183780	950	1260000	15801898.74	1444290	54390	510890			19947129.61	14870	10061070	720	3356093	20141191	5130	155360	769630	30	885800	199810		39267266.35	175020	9158960		390	882050	150	350	325490	12190	104225850.1	2830		527970	1213090	743390	386850
1963	180	11094611	652230	9046580	1246700	27400	470	11235451	71020	2736690		200	440	7682300	82520		25680		112760	273600	130170	110630	690	10010			22810	54	1083300	8358140	430	5270	46723	566730	622980	8965590	737290	39528	198	743532	9388250	318000	472710	2267050	341500	1109500	1861	4030	51060	398477.61	107400		240	9240		349130	23180	750	40000	48310	2381740	15922288.74	31114350.61	24396148.74	797030	5483163.727	276840	995450	2410306		499780			3594935.7	16129541	304590	18270	538950	1396		257670	241930		227540	10	245720	10120	28120	28050	128900	340	341700	107160	540	196710	35135109.73	1020	111890	16276851		27560	90030	49974220.74	70751672.35	20777451.61	4462487.61	1811570	16314964	570	2973190		68890	1628760	437370	100250	21640	294110	10830	88240	366700		569140		176520	810	350	96460	17820	17925467.61	230800	10230	96320	1759540	610	20075279.61	16609841	10995740	160	62710	17945694	68208700.35	30360	24766870.74				20		446340	2.027		581540	300	12649380	1943950		57212960.35		1220190	320	653540	10067090		1547438.742		786380	1030700	2030	94280	328550	18124604	823290	18280	1266700	910770	120340	33760	365244	143000	20	263310	35163989.7	309500	226754	770880	74340	1280000	298260		452860	306290	17690781	8870	120410	91500	397300	6020	62860	30270177.7	3660	11610	230340		24670	3356093	2149690		192530	670	27990	72180	20850	60	627340		20140731		20141191	688091.61	960	160507.61			407339.7	17200		460	183780	950	1260000	15801898.74	1444290	54390	510890			19947129.61	14870	10061070	720	3356093	20141191	5130	155360	769630	30	885800	199810		39267266.35	175020	9158960		390	882050	150	350	325490	12190	104225860.1	2830		527970	1213090	743390	386850
1964	180	11094611	652230	9046580	1246700	27400	470	11235451	71020	2736690		200	440	7682300	82520		25680		112760	273600	130170	110630	690	10010			22810	54	1083300	8358140	430	5270	46723	566730	622980	8965590	737290	39528	198	743532	9388250	318000	472710	2267050	341500	1109500	1861	4030	51060	398477.61	107400		240	9240		349130	23180	750	40000	48310	2381740	15922288.74	31114350.61	24396148.74	797030	5483163.727	276840	995450	2410306		499780			3594935.7	16129541	304590	18270	538950	1396		257670	241930		227540	10	245720	10120	28120	28050	128900	340	341700	107160	540	196710	35135109.73	1020	111890	16276851		27560	90030	49974220.74	70751672.35	20777451.61	4462487.61	1811570	16314964	570	2973190		68890	1628760	437370	100250	21640	294110	10830	88240	366700		569140		176520	810	350	96460	17820	17925467.61	230800	10230	96320	1759540	610	20075279.61	16609841	10995740	160	62710	17945694	68208700.35	30360	24766870.74				20		446340	2.027		581540	300	12649380	1943950		57212960.35		1220190	320	653540	10067090		1547438.742		786380	1030700	2030	94280	328550	18124604	823290	18280	1266700	910770	120340	33760	365244	143000	20	263310	35163989.7	309500	226754	770880	74340	1280000	298260		452860	306290	17690781	8870	120410	91500	397300	6020	62860	30270177.7	3660	11610	230340		24670	3356093	2149690		192530	670	27990	72180	20850	60	627340		20140731		20141191	688091.61	960	160507.61			407339.7	17200		460	183780	950	1260000	15801898.74	1444290	54390	510890			19947129.61	14870	10061070	720	3356093	20141191	5130	155360	769630	30	885800	199810		39267266.35	175020	9158960		390	882050	150	350	325490	12190	104225860.1	2830		527970	1213090	743390	386850
1965	180	11094611	652230	9046580	1246700	27400	470	11235451	71020	2736690		200	440	7682300	82520		25680		112760	273600	130170	110630	690	10010			22810	54	1083300	8358140	430	5270	46723	566730	622980	8965590	737280	39528	198	743532	9388250	318000	472710	2267050	341500	1109500	1861	4030	51060	398477.61	107400		240	9240		349130	23180	750	40000	48310	2381740	15922288.74	31114350.61	24396148.74	797030	5483153.727	276840	995450	2410306		499780			3594925.7	16129541	304590	18270	538950	1396		257670	241930		227540	10	245720	10120	28120	28050	128900	340	341700	107160	540	196710	35135099.73	1020	111890	16276851		27560	90020	49974220.74	70751672.35	20777451.61	4462487.61	1811570	16314964	570	2973190		68890	1628760	437370	100250	21640	294110	10830	88240	366700		569140		176520	810	350	96460	17820	17925467.61	230800	10230	96320	1759540	610	20075279.61	16609841	10995740	160	62710	17945694	68208700.35	30360	24766870.74				20		446340	2.027		581540	300	12649380	1943950		57212960.35		1220190	320	653540	10067090		1547438.742		786380	1030700	2030	94280	328550	18124604	823290	18280	1266700	910770	120340	33760	365244	143000	20	263310	35163979.7	309500	226754	770880	74340	1280000	298260		452860	306290	17690781	8870	120410	91500	397300	6020	62860	30270167.7	3660	11610	230340		24670	3356093	2149690		192530	670	27990	72180	20850	60	627340		20140731		20141191	688091.61	960	160507.61			407339.7	17200		460	183780	950	1260000	15801898.74	1444290	54390	510890			19947129.61	14870	10061070	720	3356093	20141191	5130	155360	769630	30	885800	199810		39267266.35	175020	9158960		390	882050	150	350	325490	12190	104225850.1	2830		527970	1213090	743390	386850
1966	180	11094611	652230	9046580	1246700	27400	470	11235451	71020	2736690		200	440	7682300	82520		25680		112760	273600	130170	110630	690	10010			22810	54	1083300	8358140	430	5270	46723	566730	622980	8965590	737270	39528	198	743532	9388250	318000	472710	2267050	341500	1109500	1861	4030	51060	398477.61	107400		240	9240		349130	23180	750	40000	48310	2381740	15922288.74	31114350.61	24396148.74	797030	5483143.727	276840	995450	2410306		499780			3594915.7	16129541	304590	18270	538950	1396		257670	241930		227540	10	245720	10120	28120	28050	128900	340	341700	107160	540	196710	35135089.73	1020	111890	16276851		27560	90010	49974220.74	70751672.35	20777451.61	4462487.61	1811570	16314964	570	2973190		68890	1628760	437370	100250	21640	294110	10830	88240	366700		569140		176520	810	350	96460	17820	17925467.61	230800	10230	96320	1759540	610	20075279.61	16609841	10995740	160	62710	17945694	68208700.35	30360	24766870.74				20		446340	2.027		581540	300	12649380	1943950		57212960.35		1220190	320	653540	10067090		1547438.742		786380	1030700	2030	94280	328550	18124604	823290	18280	1266700	910770	120340	33760	365244	143000	20	263310	35163969.7	309500	226754	770880	74340	1280000	298260		452860	306290	17690781	8870	120410	91500	397300	6020	62860	30270157.7	3660	11610	230340		24670	3356093	2149690		192530	670	27990	72180	20850	60	627340		20140731		20141191	688091.61	960	160507.61			407339.7	17200		460	183780	950	1260000	15801898.74	1444290	54390	510890			19947129.61	14870	10061070	720	3356093	20141191	5130	155360	769630	30	885800	199810		39267266.35	175020	9158960		390	882050	150	350	325490	12190	104225840.1	2830		527970	1213090	743390	386850
1967	180	11094611	652230	9046580	1246700	27400	470	11235451	71020	2736690		200	440	7682300	82520		25680		112760	273600	130170	110630	690	10010			22810	54	1083300	8358140	430	5270	46723	566730	622980	8965590	737260	39528	198	743532	9388250	318000	472710	2267050	341500	1109500	1861	4030	51060	398477.61	107400		240	9240		349130	23180	750	40000	48310	2381740	15922288.74	31114350.61	24396148.74	797030	5483133.727	276840	995450	2410306		499780			3594905.7	16129541	304590	18270	538950	1396		257670	241930		227540	10	245720	10120	28120	28050	128900	340	341700	107160	540	196710	35135079.73	1020	111890	16276851		27560	90000	49974220.74	70751672.35	20777451.61	4462487.61	1811570	16314964	570	2973190		68890	1628760	437370	100250	21640	294110	10830	88240	366700		569140		176520	810	350	96460	17820	17925467.61	230800	10230	96320	1759540	610	20075279.61	16609841	10995740	160	62710	17945694	68208700.35	30360	24766870.74				20		446340	2.027		581540	300	12649380	1943950		57212960.35		1220190	320	653540	10067090		1547438.742		786380	1030700	2030	94280	328550	18124604	823290	18280	1266700	910770	120340	33760	365244	143000	20	263310	35163959.7	309500	226754	770880	74340	1280000	298260		452860	306290	17690781	8870	120410	91500	397300	6020	62860	30270147.7	3660	11610	230340		24670	3356093	2149690		192530	670	27990	72180	20850	60	627340		20140731		20141191	688091.61	960	160507.61			407339.7	17200		460	183780	950	1260000	15801898.74	1444290	54390	510890			19947129.61	14870	10061070	720	3356093	20141191	5130	155360	769630	30	885800	199810		39267266.35	175020	9158960		390	882050	150	350	325490	12190	104225830.1	2830		527970	1213090	743390	386850
1968	180	11094611	652230	9046580	1246700	27400	470	11235451	71020	2736690		200	440	7682300	82520		25680		112760	273600	130170	110630	690	10010			22810	54	1083300	8358140	430	5270	46723	566730	622980	8965590	737250	39528	198	743532	9388250	318000	472710	2267050	341500	1109500	1861	4030	51060	398477.61	107400		240	9240		349130	23180	750	40000	48310	2381740	15922288.74	31114350.61	24396148.74	797030	5483123.727	276840	995450	2410306		499780			3594895.7	16129541	304590	18270	538950	1396		257670	241930		227540	10	245720	10120	28120	28050	128900	340	341700	107160	540	196710	35135069.73	1020	111890	16276851		27560	89990	49974220.74	70751672.35	20777451.61	4462487.61	1811570	16314964	570	2973190		68890	1628760	437370	100250	21640	294110	10830	88240	366700		569140		176520	810	350	96460	17820	17925467.61	230800	10230	96320	1759540	610	20075279.61	16609841	10995740	160	62710	17945694	68208700.35	30360	24766870.74				20		446340	2.027		581540	300	12649380	1943950		57212960.35		1220190	320	653540	10067090		1547438.742		786380	1030700	2030	94280	328550	18124604	823290	18280	1266700	910770	120340	33760	365244	143000	20	263310	35163949.7	309500	226754	770880	74340	1280000	298260		452860	306290	17690781	8870	120410	91500	397300	6020	62860	30270137.7	3660	11610	230340		24670	3356093	2149690		192530	670	27990	72180	20850	60	627340		20140731		20141191	688091.61	960	160507.61			407339.7	17200		460	183780	950	1260000	15801898.74	1444290	54390	510890			19947129.61	14870	10061070	720	3356093	20141191	5130	155360	769630	30	885800	199810		39267266.35	175020	9158960		390	882050	150	350	325490	12190	104225820.1	2830		527970	1213090	743390	386850
1969	180	11094611	652230	9046580	1246700	27400	470	11235451	71020	2736690		200	440	7682300	82520		25680		112760	273600	130170	110630	690	10010			22810	54	1083300	8358140	430	5270	46723	566730	622980	8965590	737250	39528	198	743532	9388250	318000	472710	2267050	341500	1109500	1861	4030	51060	398477.61	107400		240	9240		349130	23180	750	40000	48310	2381740	15922288.74	31114350.61	24396148.74	797030	5483123.727	276840	995450	2410306		499780			3594895.7	16129541	304590	18270	538950	1396		257670	241930		227540	10	245720	10120	28120	28050	128900	340	341700	107160	540	196710	35135069.73	1020	111890	16276851		27560	89990	49974220.74	70751672.35	20777451.61	4462487.61	1811570	16314964	570	2973190		68890	1628760	437370	100250	21640	294110	10830	88240	366700		569140		176520	810	350	96460	17820	17925467.61	230800	10230	96320	1759540	610	20075279.61	16609841	10995740	160	62710	17945694	68208700.35	30360	24766870.74				20		446340	2.027		581540	300	12649380	1943950		57212960.35		1220190	320	653540	10067090		1547438.742		786380	1030700	2030	94280	328550	18124604	823290	18280	1266700	910770	120340	33760	365244	143000	20	263310	35163949.7	309500	226754	770880	74340	1280000	298260		452860	306290	17690781	8870	120410	91500	397300	6020	62860	30270137.7	3660	11610	230340		24670	3356093	2149690		192530	670	27990	72180	20850	60	627340		20140731		20141191	688091.61	960	160507.61			407339.7	17200		460	183780	950	1260000	15801898.74	1444290	54390	510890			19947129.61	14870	10061070	720	3356093	20141191	5130	155360	769630	30	885800	199810		39267266.35	175020	9158960		390	882050	150	350	325490	12190	104225820.1	2830		527970	1213090	743390	386850
