Country Name,Country Code,Income Group,Year,Research Expenditure
Argentina,ARG,Upper middle income,2000,0.43884
Argentina,ARG,Upper middle income,2001,0.42461
Argentina,ARG,Upper middle income,2002,0.38886
Argentina,ARG,Upper middle income,2003,0.41013
Argentina,ARG,Upper middle income,2004,0.40376
Argentina,ARG,Upper middle income,2005,0.42074
Argentina,ARG,Upper middle income,2006,0.45216
Argentina,ARG,Upper middle income,2007,0.46007
Argentina,ARG,Upper middle income,2008,0.47055
Argentina,ARG,Upper middle income,2009,0.58398
Argentina,ARG,Upper middle income,2010,0.56104
Argentina,ARG,Upper middle income,2011,0.56597
Argentina,ARG,Upper middle income,2012,0.63491
Argentina,ARG,Upper middle income,2013,0.61849
Argentina,ARG,Upper middle income,2014,0.59396
Argentina,ARG,Upper middle income,2015,0.62262
Argentina,ARG,Upper middle income,2016,0.55815
Argentina,ARG,Upper middle income,2017,0.54152
Armenia,ARM,Upper middle income,2000,0.19106
Armenia,ARM,Upper middle income,2001,0.27987
Armenia,ARM,Upper middle income,2002,0.25255
Armenia,ARM,Upper middle income,2003,0.32109
Armenia,ARM,Upper middle income,2004,0.25659
Armenia,ARM,Upper middle income,2005,0.25761
Armenia,ARM,Upper middle income,2006,0.24057
Armenia,ARM,Upper middle income,2007,0.21107
Armenia,ARM,Upper middle income,2008,0.22438
Armenia,ARM,Upper middle income,2009,0.29093
Armenia,ARM,Upper middle income,2010,0.24139
Armenia,ARM,Upper middle income,2011,0.27014
Armenia,ARM,Upper middle income,2012,0.23853
Armenia,ARM,Upper middle income,2013,0.22216
Armenia,ARM,Upper middle income,2014,0.24151
Armenia,ARM,Upper middle income,2015,0.25002
Armenia,ARM,Upper middle income,2016,0.23305
Armenia,ARM,Upper middle income,2017,0.22788
Austria,AUT,High income,2000,1.88602
Austria,AUT,High income,2001,1.9921
Austria,AUT,High income,2002,2.06598
Austria,AUT,High income,2003,2.17456
Austria,AUT,High income,2004,2.16612
Austria,AUT,High income,2005,2.37324
Austria,AUT,High income,2006,2.35923
Austria,AUT,High income,2007,2.41843
Austria,AUT,High income,2008,2.56945
Austria,AUT,High income,2009,2.59674
Austria,AUT,High income,2010,2.7261
Austria,AUT,High income,2011,2.66868
Austria,AUT,High income,2012,2.91472
Austria,AUT,High income,2013,2.95492
Austria,AUT,High income,2014,3.08429
Austria,AUT,High income,2015,3.04979
Austria,AUT,High income,2016,3.12588
Austria,AUT,High income,2017,3.05212
Azerbaijan,AZE,Upper middle income,2000,0.336
Azerbaijan,AZE,Upper middle income,2001,0.34001
Azerbaijan,AZE,Upper middle income,2002,0.30155
Azerbaijan,AZE,Upper middle income,2003,0.32496
Azerbaijan,AZE,Upper middle income,2004,0.29831
Azerbaijan,AZE,Upper middle income,2005,0.21994
Azerbaijan,AZE,Upper middle income,2006,0.17165
Azerbaijan,AZE,Upper middle income,2007,0.17006
Azerbaijan,AZE,Upper middle income,2008,0.16554
Azerbaijan,AZE,Upper middle income,2009,0.24976
Azerbaijan,AZE,Upper middle income,2010,0.21848
Azerbaijan,AZE,Upper middle income,2011,0.21084
Azerbaijan,AZE,Upper middle income,2012,0.21427
Azerbaijan,AZE,Upper middle income,2013,0.20969
Azerbaijan,AZE,Upper middle income,2014,0.20978
Azerbaijan,AZE,Upper middle income,2015,0.22232
Azerbaijan,AZE,Upper middle income,2016,0.20637
Azerbaijan,AZE,Upper middle income,2017,0.18468
Belgium,BEL,High income,2000,1.92236
Belgium,BEL,High income,2001,2.02168
Belgium,BEL,High income,2002,1.89073
Belgium,BEL,High income,2003,1.83184
Belgium,BEL,High income,2004,1.80898
Belgium,BEL,High income,2005,1.78231
Belgium,BEL,High income,2006,1.81426
Belgium,BEL,High income,2007,1.84413
Belgium,BEL,High income,2008,1.92413
Belgium,BEL,High income,2009,1.98537
Belgium,BEL,High income,2010,2.05081
Belgium,BEL,High income,2011,2.15533
Belgium,BEL,High income,2012,2.27334
Belgium,BEL,High income,2013,2.33393
Belgium,BEL,High income,2014,2.38729
Belgium,BEL,High income,2015,2.46123
Belgium,BEL,High income,2016,2.55595
Belgium,BEL,High income,2017,2.70234
Bulgaria,BGR,Upper middle income,2000,0.49866
Bulgaria,BGR,Upper middle income,2001,0.45052
Bulgaria,BGR,Upper middle income,2002,0.46834
Bulgaria,BGR,Upper middle income,2003,0.47587
Bulgaria,BGR,Upper middle income,2004,0.47449
Bulgaria,BGR,Upper middle income,2005,0.44617
Bulgaria,BGR,Upper middle income,2006,0.4454
Bulgaria,BGR,Upper middle income,2007,0.43024
Bulgaria,BGR,Upper middle income,2008,0.44787
Bulgaria,BGR,Upper middle income,2009,0.4947
Bulgaria,BGR,Upper middle income,2010,0.56387
Bulgaria,BGR,Upper middle income,2011,0.53191
Bulgaria,BGR,Upper middle income,2012,0.60479
Bulgaria,BGR,Upper middle income,2013,0.63724
Bulgaria,BGR,Upper middle income,2014,0.79377
Bulgaria,BGR,Upper middle income,2015,0.96015
Bulgaria,BGR,Upper middle income,2016,0.78006
Bulgaria,BGR,Upper middle income,2017,0.75239
Belarus,BLR,Upper middle income,2000,0.7221
Belarus,BLR,Upper middle income,2001,0.70876
Belarus,BLR,Upper middle income,2002,0.6209
Belarus,BLR,Upper middle income,2003,0.61147
Belarus,BLR,Upper middle income,2004,0.62759
Belarus,BLR,Upper middle income,2005,0.67852
